userID,itemID,rating,timestamp
A1UFEGJZSNMAWI,B001KOS5UM,5.0,1280448000
AJQ0C5XWN1B03,B0009PLM26,3.0,1395964800
AIETBFISNNORJ,B004DEHJZ8,5.0,1313798400
AOCOPYY308JMY,B009AQIZYS,5.0,1376006400
A2CVDNSC8MHNDT,B004M4PC3U,1.0,1368057600
AYX1FRZ5U168V,B004QJOZS4,4.0,1358467200
A14NMB6R7CAYTA,B009A881FE,1.0,1372636800
A13DNFPXX0L63S,B0041T4DK4,5.0,1328054400
A1FCI8CFITU5X,B0002D0HY4,5.0,1390953600
A3GIB1AA7FNH11,B000SBAAM4,5.0,1213401600
A2BMDVRJE9GIWQ,B002HJBJPM,1.0,1344729600
A20HHQGMFNA56I,B00FPPQYXM,5.0,1392595200
A3RFJK9WWJK097,B0002II6LK,5.0,1334880000
AJNEJSL2LI0FM,B0002GFQ10,4.0,1401148800
ARB7ZQ6PPIEPG,B00GI2L1RK,4.0,1391817600
A2N0EIDRYZS9CU,B0057UGW5A,4.0,1401321600
A2CDY4M6SGSXMB,B001MSS6CS,4.0,1359504000
A2P1NZC0EFYMPR,B0016MNBAM,5.0,1393113600
AEHJ148L5LARZ,B008K6XO4U,5.0,1378771200
A1F7J59CCSPSLB,B000VBH2IG,5.0,1273708800
AHWYLZRPH6UMT,B000UNYK76,5.0,1191283200
A3G8CSP3VJ8GXP,B002SSU89U,5.0,1293580800
A3NMBJ1MY7Q1M7,B000SBDR38,5.0,1320796800
A24TP80CWWEJL0,B008GBJ5X8,5.0,1401926400
A1CMJRFWUGU95S,B004B4D4TU,5.0,1354665600
A2FL0EKQ2EQ9E6,1417030321,5.0,1144540800
A3DXYJA9L2H8X4,B0000WS6QI,5.0,1373932800
AURQN9R3YTOML,B00IKM5L6I,5.0,1404172800
A3A2DUZJXZMODV,B0002M6ACS,5.0,1176508800
A1LHQHDNTPV4H,B0037M62AK,5.0,1335398400
A3ULAKV5M67Q7O,B0002D02K8,5.0,1181692800
AXZC7V1W3H13L,B004W94C5O,5.0,1363132800
A3F4C09LC2C0DT,B005N4N2CQ,5.0,1338336000
A1OBPRE3L30EFK,B000EEHFAA,5.0,1351555200
A1X7GKKTVP9LV,B00BLQ7M4E,5.0,1374192000
AI7P7PNS26WN4,B002M8GBDI,3.0,1400371200
A3IPXB5CUEJO3D,B00009W40P,1.0,1323907200
A3HRN85Z2FJPPH,B002UQD4CS,1.0,1317513600
A1NYADUFPSSV27,B007JX8O0Y,5.0,1374537600
A2LN8FJPD6GBTX,B0041B5B1C,5.0,1361145600
ATY1RM0NAU1Y7,B0002CZSJY,5.0,1357257600
AUS5X6IMFLJBD,B0002F7K7Y,4.0,1334793600
A1NM6O2Z3FACV4,B0002CZTI4,4.0,1358726400
A3U38INYX57WU7,B00006J04Y,1.0,1183334400
A2KHTT9IKL5S86,B006MNGBR0,5.0,1337472000
AY8P5SRX55Q46,B000EEI6UI,2.0,1279065600
A3GTUNDBLPC00I,B004LG93KC,5.0,1336694400
AL2YTWOG0HZJU,B002AKKOF4,5.0,1328140800
A15UNNSL075W94,B004NQD7I4,5.0,1329868800
A2BPZOD7PEHPDM,B00143XEH8,1.0,1392336000
APIFZYBRVZCJ6,B000XPNWU2,4.0,1304035200
A11L2ZNYIQOEJA,B001SC4I16,3.0,1402358400
ARQKZ180MEK9A,B00009ATL2,4.0,1069891200
A1FSC3T4CCJD3K,B004UIDPIW,5.0,1351036800
A109WIE49N0GV,B002S4DN7S,4.0,1258416000
ABEQJOG7TS8GT,B0049FEPOE,5.0,1300752000
AK9VP5TFUCPTK,B00I8RSQBW,5.0,1404950400
AT9YCZ124H49S,B003JH7XZQ,4.0,1393977600
